pdb_id,cluster_v2_id,Within_PDB_rank,Without_O_rel_score,Without_O_rel_rank
4W9H,4W9H_V2C004,4,80.1818080809979,4
4W9H,4W9H_V2C002,3,79.7764157894737,5
4W9H,4W9H_V2C006,5,71.9448490708915,6
4W9H,4W9H_V2C008,6,71.2834902551021,7
4W9H,4W9H_V2C010,7,69.0312086103652,8
4W9H,4W9H_V2C009,8,68.170403763874,9
4W9H,4W9H_V2C007,13,65.3552172287863,10
4W9H,4W9H_V2C014,9,62.7327227090046,11
4W9H,4W9H_V2C012,14,60.6055051212853,12
4W9H,4W9H_V2C011,12,54.965770669531,13
4W9H,4W9H_V2C015,15,50.3701328712406,14
4W9H,4W9H_V2C013,11,49.9833445291801,15
4W9H,4W9H_V2C022,26,46.7276344888148,16
4W9H,4W9H_V2C016,27,40.8507123778196,17
4W9H,4W9H_V2C020,29,35.5740225778733,18
4W9H,4W9H_V2C034,28,29.5180210949764,19
4W9H,4W9H_V2C017,36,28.6675715757457,20
4W9H,4W9H_V2C018,37,28.6008359988226,21
4W9H,4W9H_V2C033,25,28.5215980180534,22
4W9H,4W9H_V2C028,20,28.4201148449765,23
4W9H,4W9H_V2C038,34,28.3913071526687,24
4W9H,4W9H_V2C035,22,28.3874537872841,25
4W9H,4W9H_V2C031,16,28.362701383438,26
4W9H,4W9H_V2C036,17,28.3532614795918,27
4W9H,4W9H_V2C026,32,28.3354922488226,28
4W9H,4W9H_V2C024,18,28.3239994603611,29
4W9H,4W9H_V2C019,38,28.3061124411303,30
4W9H,4W9H_V2C032,21,28.3041100372842,31
4W9H,4W9H_V2C037,33,28.2967061911303,32
4W9H,4W9H_V2C030,23,28.2955956142072,33
4W9H,4W9H_V2C029,24,28.2925499411303,34
4W9H,4W9H_V2C021,31,28.2914225372841,35
4W9H,4W9H_V2C025,35,28.2880571526688,36
4W9H,4W9H_V2C023,19,28.2838167680534,37
4W9H,4W9H_V2C027,30,28.2805859988226,38
5J89,5J89_V2C003,1,83.4367444875582,1
5J89,5J89_V2C001,2,77.4775413515933,2
5J89,5J89_V2C002,3,70.2204240882046,3
5J89,5J89_V2C004,5,65.7902939393126,4
5J89,5J89_V2C019,6,60.648111641877,5
5J89,5J89_V2C006,8,56.0776124167562,6
5J89,5J89_V2C014,9,54.5495889974687,7
5J89,5J89_V2C007,4,53.8482363118132,8
5J89,5J89_V2C022,11,49.1648741522763,9
5J89,5J89_V2C015,14,45.8463900385329,10
5J89,5J89_V2C008,12,43.6106406343985,11
5J89,5J89_V2C005,13,43.5590389896616,12
5J89,5J89_V2C024,15,40.342299182021,13
5J89,5J89_V2C021,7,38.3074804726101,14
5J89,5J89_V2C011,18,34.1378816521824,15
5J89,5J89_V2C023,22,29.3163167680534,16
5J89,5J89_V2C017,21,29.0385884026688,17
5J89,5J89_V2C020,10,28.8781605180534,18
5J89,5J89_V2C013,19,28.784888883438,19
5J89,5J89_V2C009,20,28.6255210949764,20
5J89,5J89_V2C012,23,28.4543239795919,21
5J89,5J89_V2C018,17,28.2987422488226,22
5J89,5J89_V2C016,16,28.2770523449765,23
5J89,5J89_V2C010,24,28.2767999411303,24
5LGE,5LGE_V2C004,6,90.168490746096,1
5LGE,5LGE_V2C003,9,86.5220449310558,2
5LGE,5LGE_V2C001,8,86.3627633231491,3
5LGE,5LGE_V2C006,1,84.484447544985,4
5LGE,5LGE_V2C002,3,81.9383584295967,5
5LGE,5LGE_V2C017,2,77.9153000674532,6
5LGE,5LGE_V2C011,13,77.556582261681,7
5LGE,5LGE_V2C007,5,77.3989647112286,8
5LGE,5LGE_V2C009,7,76.3250823603652,9
5LGE,5LGE_V2C010,15,75.9527640708915,10
5LGE,5LGE_V2C008,16,73.930090386681,11
5LGE,5LGE_V2C024,4,73.5278195488722,12
5LGE,5LGE_V2C015,11,70.6406372747187,13
5LGE,5LGE_V2C005,17,69.601797886681,14
5LGE,5LGE_V2C012,18,69.3881738077336,15
5LGE,5LGE_V2C020,10,67.5008916754298,16
5LGE,5LGE_V2C032,20,67.0718160351772,17
5LGE,5LGE_V2C030,14,64.1434943042187,18
5LGE,5LGE_V2C055,19,61.059261850931,19
5LGE,5LGE_V2C033,28,58.6064895558577,20
5LGE,5LGE_V2C014,12,58.0871788520408,21
5LGE,5LGE_V2C094,27,56.6696025778733,22
5LGE,5LGE_V2C045,26,56.3790762620838,23
5LGE,5LGE_V2C019,50,52.2501878186538,24
5LGE,5LGE_V2C018,49,49.8639734326888,25
5LGE,5LGE_V2C016,21,48.0778744063731,26
5LGE,5LGE_V2C027,23,47.0977072851772,27
5LGE,5LGE_V2C013,51,47.019575415145,28
5LGE,5LGE_V2C028,22,47.0099634633459,29
5LGE,5LGE_V2C031,47,46.0469525483351,30
5LGE,5LGE_V2C081,54,45.9465762620838,31
5LGE,5LGE_V2C088,25,45.8790762620838,32
5LGE,5LGE_V2C025,52,44.9403473120301,33
5LGE,5LGE_V2C091,55,44.0476288936627,34
5LGE,5LGE_V2C023,53,42.5170009962406,35
5LGE,5LGE_V2C073,56,41.1192162620838,36
5LGE,5LGE_V2C021,24,40.947482443609,37
5LGE,5LGE_V2C042,59,37.5502615252417,38
5LGE,5LGE_V2C026,31,36.7609918515037,39
